VIN (1-10),County,City,State,Model Year,Make,Model,Electric Vehicle Type,Clean Alternative Fuel Vehicle (CAFV) Eligibility,Electric Range,DOL Vehicle ID
5YJ3E1EA6J,Snohomish,Edmonds,WA,2018,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,215,139647847
1G1RD6S55H,Stevens,Nine Mile Falls,WA,2017,CHEVROLET,VOLT,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,53,141964049
1N4AZ1CV8M,Thurston,Olympia,WA,2021,NISSAN,LEAF,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,168414802
1N4BZ0CP9H,Snohomish,Everett,WA,2017,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,107,347122709
WBAJB1C51K,Snohomish,Lynnwood,WA,2019,BMW,530E,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,15,180189544
1N4AZ1CP0J,King,Seattle,WA,2018,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,151,230229198
5YJ3E1EA9L,King,Auburn,WA,2020,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,266,4759478
WP0AC2Y19L,Thurston,Olympia,WA,2020,PORSCHE,TAYCAN,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,192,169466916
5UXTS1C05M,King,Seattle,WA,2021,BMW,X3,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,17,132838877
1N4BZ0CP4H,Snohomish,Edmonds,WA,2017,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,107,157076713
WAUSPBFF4G,Snohomish,Bothell,WA,2016,AUDI,A3,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,16,222389436
5YJXCBE24H,Island,Langley,WA,2017,TESLA,MODEL X,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,200,305760101
5YJ3E1EB2K,Yakima,Yakima,WA,2019,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,220,221375612
KNDJX3AE6J,Thurston,Lacey,WA,2018,KIA,SOUL EV,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,111,333554245
5YJ3E1EAXJ,Thurston,Olympia,WA,2018,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,215,162260283
5YJ3E1EA5K,Snohomish,Everett,WA,2019,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,220,478392596
1FADP5CU3D,Snohomish,Snohomish,WA,2013,FORD,C-MAX,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,19,225985077
3C3CFFGE1D,Snohomish,Edmonds,WA,2013,FIAT,500,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,87,203403784
5YJ3E1EB3K,Kitsap,Bremerton,WA,2019,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,220,347395940
5YJSA1E2XJ,Snohomish,Lynnwood,WA,2018,TESLA,MODEL S,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,249,151710079
1FTVW1EL4N,Snohomish,Everett,WA,2022,FORD,F-150,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,216940363
5YJSA1E22G,Newport News,Newport News,VA,2016,TESLA,MODEL S,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,210,111593331
1G6KA5RX3J,Yakima,Yakima,WA,2018,CADILLAC,CT6,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,31,157696066
5YJSA1E27F,Yakima,Yakima,WA,2015,TESLA,MODEL S,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,208,142165607
WBY1Z4C5XG,Jackson,Altus,OK,2016,BMW,I3,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,72,212273260
5YJ3E1EB9K,Thurston,Olympia,WA,2019,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,220,112688474
1FADP5CU3D,Whitman,Pullman,WA,2013,FORD,C-MAX,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,19,201830751
5YJ3E1EB3J,Lake,Highland Park,IL,2018,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,215,128455015
1N4BZ0CP5G,Spokane,Spokane,WA,2016,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,84,209103016
1G1FZ6S05L,Kitsap,Suquamish,WA,2020,CHEVROLET,BOLT EV,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,259,161332125
1FADP5CU9E,Snohomish,Edmonds,WA,2014,FORD,C-MAX,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,19,476899461
5YJ3E1EA9L,Snohomish,Monroe,WA,2020,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,266,132229660
JHMZC5F30J,Clallam,Sequim,WA,2018,HONDA,CLARITY,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,47,254914551
5YJ3E1EB3J,Kitsap,Keyport,WA,2018,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,215,475332875
5YJ3E1EAXK,Thurston,Olympia,WA,2019,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,220,329238430
5YJYGDEE2L,Lake,Gurnee,IL,2020,TESLA,MODEL Y,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,291,110357341
1N4AZ0CP6D,King,Seattle,WA,2013,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,75,191349651
1G1FZ6S00L,King,Maple Valley,WA,2020,CHEVROLET,BOLT EV,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,259,139723181
WBY1Z4C5XG,Snohomish,Marysville,WA,2016,BMW,I3,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,72,125368162
1N4AZ0CP6D,King,Kent,WA,2013,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,75,349351173
5YJ3E1EB9K,King,Lake Forest Park,WA,2019,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,220,260082847
1N4AZ0CP5F,Kitsap,Poulsbo,WA,2015,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,84,167991575
1N4BZ1CV1N,Snohomish,Snohomish,WA,2022,NISSAN,LEAF,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,181212748
1G1FX6S07N,King,Redmond,WA,2022,CHEVROLET,BOLT EV,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,205255732
JN1AZ0CP0C,Snohomish,Bothell,WA,2012,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,73,239251722
7SAYGAEE8N,King,Issaquah,WA,2022,TESLA,MODEL Y,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,182643212
1G1FY6S0XN,Cowlitz,Longview,WA,2022,CHEVROLET,BOLT EV,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,219471227
5YJYGDEE9M,Pierce,Tacoma,WA,2021,TESLA,MODEL Y,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,200797509
5YJSA1H29F,Snohomish,Mukilteo,WA,2015,TESLA,MODEL S,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,208,238385255
KNDCC3LG0L,Kittitas,Ellensburg,WA,2020,KIA,NIRO,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,239,127441891
JA4J24A55J,King,Burien,WA,2018,MITSUBISHI,OUTLANDER,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,22,202810254
5YJ3E1EA7K,Pierce,Gig Harbor,WA,2019,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,220,209732323
5YJYGDED1M,Pierce,South Hill,WA,2021,TESLA,MODEL Y,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,145775010
5YJ3E1EB8L,King,Sammamish,WA,2020,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,322,127146022
3FA6P0PUXG,King,Seattle,WA,2016,FORD,FUSION,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,19,143099232
5YJYGDEE0M,Grays Harbor,Westport,WA,2021,TESLA,MODEL Y,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,138605932
1G1FZ6S07L,Clark,Vancouver,WA,2020,CHEVROLET,BOLT EV,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,259,151025738
5YJYGAEE4M,King,Bothell,WA,2021,TESLA,MODEL Y,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,171212345
2C4RC1N71L,Spokane,Airway Heights,WA,2020,CHRYSLER,PACIFICA,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,32,125960950
5YJXCBE25G,King,Sammamish,WA,2016,TESLA,MODEL X,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,200,205854687
5YJYGDEF7L,King,Mercer Island,WA,2020,TESLA,MODEL Y,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,291,113415900
5YJ3E1EA9J,Snohomish,Stanwood,WA,2018,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,215,237769514
7FCTGAAL0N,King,Redmond,WA,2022,RIVIAN,R1T,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,208790165
JHMZC5F3XJ,Thurston,Tumwater,WA,2018,HONDA,CLARITY,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,47,8944568
1N4BZ1BP9L,Kitsap,Bainbridge Island,WA,2020,NISSAN,LEAF,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,137305724
1G1RB6E4XE,King,Kent,WA,2014,CHEVROLET,VOLT,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,38,126271652
KM8K23AG4M,King,Seattle,WA,2021,HYUNDAI,KONA ELECTRIC,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,153941490
YV4ED3UR9N,King,Seattle,WA,2022,VOLVO,XC40,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,194444953
5YJ3E1EA4M,Snohomish,Edmonds,WA,2021,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,151145816
WVGGNPE2XN,King,Seattle,WA,2022,VOLKSWAGEN,ID.4,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,218172377
5YJYGAEE3M,King,Auburn,WA,2021,TESLA,MODEL Y,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,157532658
5YJ3E1EB5K,Chelan,Entiat,WA,2019,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,220,297697375
1G1RA6E46D,Snohomish,Everett,WA,2013,CHEVROLET,VOLT,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,38,169097736
3FA6P0SU2G,Pierce,Lakewood,WA,2016,FORD,FUSION,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,19,170265917
1G1RA6E45D,Snohomish,Everett,WA,2013,CHEVROLET,VOLT,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,38,230594514
5YJ3E1EBXK,Pierce,Lake Tapps,WA,2019,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,220,476460610
1G1FX6S06J,King,Seattle,WA,2018,CHEVROLET,BOLT EV,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,238,168450327
1N4AZ0CP9E,King,Sammamish,WA,2014,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,84,207729336
5YJ3E1EB2J,Pierce,Tacoma,WA,2018,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,215,473911707
JTDKN3DP9C,King,Bellevue,WA,2012,TOYOTA,PRIUS PLUG-IN,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,6,194012913
7SAYGDEEXN,Clark,Vancouver,WA,2022,TESLA,MODEL Y,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,227267610
3FMTK2SU2N,Thurston,Olympia,WA,2022,FORD,MUSTANG MACH-E,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,218070583
KNDCT3L15P,Spokane,Spokane,WA,2023,KIA,NIRO,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,224347686
1N4BZ0CPXH,King,Kirkland,WA,2017,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,107,249916628
W1N9M0KB7N,King,Seattle,WA,2022,MERCEDES-BENZ,EQB-CLASS,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,218409124
3FMTK1RM3N,Pierce,Tacoma,WA,2022,FORD,MUSTANG MACH-E,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,224093236
WP0AB2Y14L,King,Seattle,WA,2020,PORSCHE,TAYCAN,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,203,216863167
5YJXCAE49H,King,Newcastle,WA,2017,TESLA,MODEL X,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,200,128811308
JTMAB3FV2M,Kitsap,Port Orchard,WA,2021,TOYOTA,RAV4 PRIME,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,42,170362265
5YJ3E1EB7N,Whatcom,Bellingham,WA,2022,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,207002106
3FMTK2SU8N,Thurston,Olympia,WA,2022,FORD,MUSTANG MACH-E,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,227331058
WVWKP7AU3G,Clark,Vancouver,WA,2016,VOLKSWAGEN,E-GOLF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,83,4858486
1N4BZ1DP6L,Benton,Richland,WA,2020,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,215,150283549
5YJYGDEEXM,Kitsap,Bainbridge Island,WA,2021,TESLA,MODEL Y,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,199295470
5YJYGDEE5L,Grant,Moses Lake,WA,2020,TESLA,MODEL Y,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,291,110643508
5YJ3E1EA7N,King,Bellevue,WA,2022,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,218019637
1N4AZ1CP0K,Snohomish,Snohomish,WA,2019,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,150,317758696
5YJYGDEE3L,Island,Camano Island,WA,2020,TESLA,MODEL Y,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,291,220400848
JTDKARFP7H,Pierce,Tacoma,WA,2017,TOYOTA,PRIUS PRIME,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,25,213563290
WVWKR7AU2K,Chelan,Wenatchee,WA,2019,VOLKSWAGEN,E-GOLF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,125,276154329
5YJ3E1EA8K,King,Seattle,WA,2019,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,220,202092838
1N4AZ0CP3D,King,Seattle,WA,2013,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,75,181393719
1G1FW6S03H,King,Seattle,WA,2017,CHEVROLET,BOLT EV,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,238,170571509
5YJ3E1EA0M,Snohomish,Lake Stevens,WA,2021,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,137401988
WP0AB2Y13L,Snohomish,Bothell,WA,2020,PORSCHE,TAYCAN,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,203,123043714
5YJYGAEE1M,Clark,Vancouver,WA,2021,TESLA,MODEL Y,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,218892082
YV4ED3GB5N,King,Seattle,WA,2022,VOLVO,C40,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,192422667
1G1FZ6S06M,Clark,Vancouver,WA,2021,CHEVROLET,BOLT EV,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,175372361
KNDCC3LG6N,Clark,Vancouver,WA,2022,KIA,NIRO,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,196706779
3FMTK3SU1M,Skagit,Anacortes,WA,2021,FORD,MUSTANG MACH-E,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,179021748
3FA6P0PU5H,Whatcom,Bellingham,WA,2017,FORD,FUSION,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,21,212383174
1N4AZ1CP3L,Kitsap,Poulsbo,WA,2020,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,149,138518831
5YJYGDEE2M,King,Seattle,WA,2021,TESLA,MODEL Y,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,180034200
5YJYGDEE0M,Island,Clinton,WA,2021,TESLA,MODEL Y,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,133843174
5YJSA1E24H,King,Kirkland,WA,2017,TESLA,MODEL S,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,210,170487103
JTDKARFPXJ,Pierce,Roy,WA,2018,TOYOTA,PRIUS PRIME,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,25,220401688
5YJSA1H22F,Pierce,Gig Harbor,WA,2015,TESLA,MODEL S,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,208,158456455
5YJ3E1EBXM,King,Seattle,WA,2021,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,161564154
5YJSA1V41F,Snohomish,Snohomish,WA,2015,TESLA,MODEL S,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,208,314980536
JHMZC5F34J,King,Des Moines,WA,2018,HONDA,CLARITY,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,47,149201804
JTDKARFP0H,King,Renton,WA,2017,TOYOTA,PRIUS PRIME,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,25,186496985
7SAYGDEFXN,King,Seattle,WA,2022,TESLA,MODEL Y,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,220469770
1G1FY6S03L,Whatcom,Bellingham,WA,2020,CHEVROLET,BOLT EV,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,259,148764283
WBY7Z4C50J,Clark,Camas,WA,2018,BMW,I3,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,97,107982605
5YJYGDEF0M,King,Bellevue,WA,2021,TESLA,MODEL Y,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,214857002
5YJSA1E56N,King,Seattle,WA,2022,TESLA,MODEL S,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,219036016
7SAXCBE51N,King,Issaquah,WA,2022,TESLA,MODEL X,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,196660859
1G1FX6S0XJ,King,Seattle,WA,2018,CHEVROLET,BOLT EV,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,238,192954639
YV4ED3UR3M,Pierce,Gig Harbor,WA,2021,VOLVO,XC40,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,171095746
KNDRJDLH8N,Snohomish,Bothell,WA,2022,KIA,SORENTO,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,32,183485648
JTDKN3DP3D,Benton,Kennewick,WA,2013,TOYOTA,PRIUS PLUG-IN,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,6,224595318
5YJYGAEE6M,Kittitas,Ellensburg,WA,2021,TESLA,MODEL Y,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,154367461
1G1RB6S57J,King,Redmond,WA,2018,CHEVROLET,VOLT,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,53,475282573
1N4BZ0CP3G,Chelan,Wenatchee,WA,2016,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,84,179546118
5YJ3E1EB2K,Spokane,Spokane,WA,2019,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,220,219399141
JTDKARFP9H,King,Seattle,WA,2017,TOYOTA,PRIUS PRIME,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,25,195682791
5YJ3E1EA8N,Kitsap,Port Orchard,WA,2022,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,187323622
5YJYGDEE1M,King,Issaquah,WA,2021,TESLA,MODEL Y,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,183443242
WVWKR7AUXJ,Thurston,Olympia,WA,2018,VOLKSWAGEN,E-GOLF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,125,180065420
5YJ3E1EA7N,King,Seattle,WA,2022,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,219202518
KNDCM3LD1N,King,Renton,WA,2022,KIA,NIRO,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,26,179247659
WVWKP7AUXG,Snohomish,Bothell,WA,2016,VOLKSWAGEN,E-GOLF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,83,478302765
5YJXCAE21K,King,Burien,WA,2019,TESLA,MODEL X,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,289,195557449
7SAYGDEE4N,Kitsap,Port Orchard,WA,2022,TESLA,MODEL Y,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,205020623
1N4AZ1CP9K,Kitsap,Bainbridge Island,WA,2019,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,150,341674217
1G1FX6S05H,Pierce,Tacoma,WA,2017,CHEVROLET,BOLT EV,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,238,166993319
5YJ3E1EBXN,Snohomish,Lynnwood,WA,2022,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,187094904
1N4AZ0CP1E,Snohomish,Snohomish,WA,2014,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,84,151475544
